municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-Puente de Vallecas                   ;2020/04/13 07:00:00;810;316,73;2358;922,05;79613
Madrid-San Blas - Canillejas                ;2020/04/13 07:00:00;362;260,67;1077;775,52;79620
Madrid-Barajas                              ;2020/04/13 07:00:00;115;218,3;333;632,11;79621
Madrid-Moratalaz                            ;2020/04/13 07:00:00;378;288,2;1035;789,12;79614
Madrid-Ciudad Lineal                        ;2020/04/13 07:00:00;611;230,87;1612;609,09;79615
Madrid-Hortaleza                            ;2020/04/13 07:00:00;440;208,26;1329;629,04;79616
Madrid-Villaverde                           ;2020/04/13 07:00:00;316;198,69;1077;677,18;79617
Madrid-Villa de Vallecas                    ;2020/04/13 07:00:00;258;241,96;995;933,14;79618
Madrid-Vicálvaro                            ;2020/04/13 07:00:00;234;444,47;635;1206,15;79619
Pozuelo de Alarcón                          ;2020/04/13 07:00:00;106;120,05;444;502,83;1150
Alcorcón                                    ;2020/04/13 07:00:00;633;362,04;1245;712,08;72
Navalcarnero                                ;2020/04/13 07:00:00;35;123,99;117;414,47;967
San Agustín del Guadalix                    ;2020/04/13 07:00:00;26;178,53;42;288,4;1296
Las Rozas de Madrid                         ;2020/04/13 07:00:00;217;226,4;482;502,88;1277
Moraleja de Enmedio                         ;2020/04/13 07:00:00;6;112,02;18;336,07;894
Valdaracete                                 ;2020/04/13 07:00:00;;494,23;;823,72;1551
Pozuelo del Rey                             ;2020/04/13 07:00:00;;0;;202,02;1163
Puebla de la Sierra                         ;2020/04/13 07:00:00;;0;;0;1185
Perales de Tajuña                           ;2020/04/13 07:00:00;;80,58;7;188,02;1104
Valdemorillo                                ;2020/04/13 07:00:00;15;123,75;26;214,5;1603
Navalafuente                                ;2020/04/13 07:00:00;;251,89;;377,83;941
Velilla de San Antonio                      ;2020/04/13 07:00:00;22;176,1;52;416,23;1678
Villanueva de la Cañada                     ;2020/04/13 07:00:00;18;73,82;68;278,87;1760
Villanueva del Pardillo                     ;2020/04/13 07:00:00;12;71,05;59;349,34;1776
Nuevo Baztán                                ;2020/04/13 07:00:00;7;105,31;24;361,07;1006
Villamantilla                               ;2020/04/13 07:00:00;;0;7;829,38;1757
Villamanta                                  ;2020/04/13 07:00:00;6;281,56;7;328,48;1744
Cabanillas de la Sierra                     ;2020/04/13 07:00:00;;690,85;9;1554,4;297
Cenicientos                                 ;2020/04/13 07:00:00;;254,97;17;866,9;376
Puentes Viejas                              ;2020/04/13 07:00:00;;218,82;;437,64;9020
Aranjuez                                    ;2020/04/13 07:00:00;130;204,95;359;565,97;133
Cercedilla                                  ;2020/04/13 07:00:00;31;414,05;69;921,6;382
Santorcaz                                   ;2020/04/13 07:00:00;;176,68;7;1236,75;1369
Coslada                                     ;2020/04/13 07:00:00;239;270,35;622;703,6;493
Morata de Tajuña                            ;2020/04/13 07:00:00;15;193,12;81;1042,87;915
Robregordo                                  ;2020/04/13 07:00:00;;0;;0;1261
Navarredonda y San Mamés                    ;2020/04/13 07:00:00;;0;;1204,82;973
Venturada                                   ;2020/04/13 07:00:00;;0;;70,82;1697
Navacerrada                                 ;2020/04/13 07:00:00;;143,47;10;358,68;936
Montejo de la Sierra                        ;2020/04/13 07:00:00;;279,33;;279,33;881
Fresno de Torote                            ;2020/04/13 07:00:00;;249,79;13;1082,43;571
Pinilla del Valle                           ;2020/04/13 07:00:00;;0;;0;1126
Valdemaqueda                                ;2020/04/13 07:00:00;;233,92;;350,88;1599
Navas del Rey                               ;2020/04/13 07:00:00;6;203,8;42;1426,63;992
Olmeda de las Fuentes                       ;2020/04/13 07:00:00;;0;;1244,81;1013
Bustarviejo                                 ;2020/04/13 07:00:00;;112,55;;281,37;284
Becerril de la Sierra                       ;2020/04/13 07:00:00;9;155,93;20;346,5;186
Fuenlabrada                                 ;2020/04/13 07:00:00;416;203,91;1200;588,19;587
Garganta de los Montes                      ;2020/04/13 07:00:00;;0;;364,96;626
Pinto                                       ;2020/04/13 07:00:00;52;97,83;174;327,36;1132
Alameda del Valle                           ;2020/04/13 07:00:00;;0;;0;35
Berzosa del Lozoya                          ;2020/04/13 07:00:00;;1315,79;;1315,79;203
Los Santos de la Humosa                     ;2020/04/13 07:00:00;;238,24;18;1072,07;1375
El Álamo                                    ;2020/04/13 07:00:00;12;121,54;33;334,24;40
Pelayos de la Presa                         ;2020/04/13 07:00:00;;150,09;15;562,85;1090
Galapagar                                   ;2020/04/13 07:00:00;48;144,71;129;388,91;611
Griñón                                      ;2020/04/13 07:00:00;22;190,54;59;511;663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/04/13 07:00:00;;0;;1027,4;632
